product_code,description,unit_of_measure,unit_price,case_price
BZPL910,"CAFE EXPRESS 9"" PLASTIC PLATES 10 X 36/CS CAFE EXPRESS ASSIETTES EN PLASTIQUE 9"" 10 X 36/CS UPC Pack: 059212734319 UPC Case: 059212734340",CASE,1.08,38.88
BZPL1310,CAFE EXPRESS 13OZ PLASTIC BOWLS 10/PK x 36/CASE CAFE EXPRESS BOLS EN PLASTIQUE 13OZ 10/PK x 36/CASE UPC Pack: 059212734760 UPC Case: 059212734777,CASE,1.05,37.80
BZPLC,CAFE EXPRESS 3 PART PLASTIC COMPARTMENT PLATES 5 X 36/CS CAFE EXPRESS ASSIETTES A 3 COMPARTIMENTS EN PLASTIQUE 5 X 36/CS UPC Pack: 059212734579 UPC Case: 059212734593,CASE,1.14,41.04
BZPLP,CAFE EXPRESS PLASTIC OVAL PLATTERS 5 X 36/CS CAFE EXPRESS ASSIETTES OVALES EN PLASTIQUE 5 X 36/CS UPC Pack: 059212734616 UPC Case: 059212734630,CASE,1.10,39.60
BZP1T,CAFE EXPRESS 1oz PLASTIC SHOOTER CUPS 30 X 36/CS CAFE EXPRESS VERRES A LIQUEUR EN PLASTIQUE 1oz 30 X 36/CS UPC Pack: 059212709874 UPC Case: 059212709935,CASE,0.73,26.28
BZP2T,CAFE EXPRESS MINI 2 OZ SHOOTER CUPS (RED) 30/PK X 48/CS CAFE EXPRESS MINI 2 OZ VERRES A LIQUEUR 30/PK X 48/CS UPC Pack: 059212994256 UPC Case: 059212994263,CASE,0.80,38.40
BZP2S,CAFE EXPRESS 2oz SHOOTER CUPS 20/PKx36/CS (1037048) CAFE EXPRESS VERRES A LIQUEUR 2oz 20/PQT x 36/CS UPC Pack: 059212703551 UPC Case: 059212703568,CASE,0.83,29.88
BZP4D,CAFE EXPRESS PLASTIC CHAMPAGNE GLASSES 3 X 24/CS CAFE EXPRESS VERRES DE CHAMPAGNE EN PLASTIQUE 3 X 24/CS UPC Pack: 059212710139 UPC Case: 059212710191,CASE,0.92,22.08
BZP6X,CAFE EXPRESS PLASTIC WINE GLASSES 5 x 36/CS CAFE EXPRESS VERRES A VIN EN PLASTIQUE 5 x 36/CS UPC Pack: 059212710153 UPC Case: 059212710214,CASE,0.84,30.24
BZP5Y,CAFE EXPRESS 5OZ WINE CUP 6/PK X 36/CASE CAFE EXPRESS VERRE A VIN 5OZ 6/PK X 36/CS UPC Pack: 059212989610 UPC Case: 059212989627,CASE,0.92,33.12
BZP5Y24,CAFE EXPRESS 5OZ WINE CUP 24/PK X 24/CASE CAFE EXPRESS VERRE A VIN 5OZ 24/PK X 24/CS UPC Pack: 059212000230 UPC Case: 059212000223,CASE,2.87,68.88
BZP20,CAFE EXPRESS MINI LIQUEUR GLASSES 60ML 20/PK X 24PK/CS CAFE EXPRESS MINI VERRES A LIQUEUR 60ML 20/PK X 24PK/CS UPC Pack: 059212710221 UPC Case: 059212710238,CASE,1.30,31.20
BZP1T50,CAFE EXPRESS 1oz PLASTIC SHOOTER CUPS 50 X 36/CS CAFE EXPRESS VERRES A CUL SEC EN PLASTIQUE 1oz 50 X 36/CS UPC Pack: 059212995413 UPC Case: 059212995420,CASE,1.11,39.96
BZP1T100,CAFE EXPRESS 1oz PLASTIC SHOOTER CUPS 100 X 36/CS CAFE EXPRESS VERRES A CUL SEC EN PLASTIQUE 1oz 100 X 36/CS UPC Pack: 059212995437 UPC Case: 059212995444,CASE,2.10,75.60
BZP6W,CAFE EXPRESS WINE GLASS 6/PK x 24/CASE (1037046) CAFE EXPRESS VERRE A VIN 6/PK x 24/CS UPC Pack: 059212989030 UPC Case: 059212989047,CASE,2.13,51.12
BZP8C,CAFE EXPRESS COCKTAIL GLASS 8/PK X 24/CASE CAFE EXPRESS VERRES A COCKTAIL 8/PK X 24/CASE UPC Pack: 059212930865 UPC Case: 059212930872,CASE,1.78,42.72
BZP8T,CAFE EXPRESS SHORT TUMBLER 8/PK X 24PK/CS CAFE EXPRESS PETIT TUMBLER 8/PK X 24PK/CS UPC Pack: 059212710245 UPC Case: 059212710252,CASE,1.90,45.60
BZP07,CAFE EXPRESS 7oz PLASTIC CUPS 25 X 36/CS CAFE EXPRESS VERRES EN PLASTIQUE 7oz 25 X 36/CS UPC Pack: 059212710030 UPC Case: 059212710085,CASE,0.84,30.24
BZP09,CAFE EXPRESS 9oz PLASTIC CUPS 20 X 36/CS CAFE EXPRESS VERRES EN PLASTIQUE 9oz 20 X 36/CS UPC Pack: 059212710047 UPC Case: 059212710092,CASE,0.88,31.68
BZP012,CAFE EXPRESS 12oz PLASTIC CUPS 15 X 36/CS (1432345) CAFE EXPRESS VERRES EN PLASTIQUE 12oz 15 X 36/CS UPC Pack: 059212710009 UPC Case: 059212710054,CASE,0.89,32.04
BZP016,CAFE EXPRESS 16oz PLASTIC CUPS 10 X 36/CS CAFE EXPRESS VERRES EN PLASTIQUE 16oz 10 X 36/CS UPC Pack: 059212710016 UPC Case: 059212710061,CASE,0.84,30.24
BZP018B,CAFE EXPRESS 18oz BEER (PP) CUPS RED/WHITE 50/PK x 12/CS CAFE EXPRESS VERRES EN PLASTIQUE POUR BIERE ROUGE/BLANC 50/PQT x 12/CS UPC Pack: 059212318663 UPC Case: 059212318670,CASE,4.22,50.64
BZP75,CAFE EXPRESS 7oz PLASTIC CUPS (PP) 50 x 20/CS CAFE EXPRESS VERRES EN PLASTIQUE 7oz (PP) 50 x 20/CS UPC Pack: 059212703308 UPC Case: 059212703315,CASE,1.60,32.00
BZP105,CAFE EXPRESS 9oz PLASTIC CUPS 50 x 20/CS CAFE EXPRESS VERRES EN PLASTIQUE 9oz 50 x 20/CS UPC Pack: 059212703261 UPC Case: 059212703278,CASE,1.94,38.80
BZP165,CAFE EXPRESS 16oz PLASTIC CUPS 50 x 20/CS CAFE EXPRESS VERRES EN PLASTIQUE 16oz 50 x 20/CS UPC Pack: 059212703285 UPC Case: 059212703292,CASE,3.76,75.20
BZPE07,CAFE EXPRESS 7oz PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE 7oz 50/PQT x 20/CS UPC Pack: 059212985001 UPC Case: 059212985018,CASE,2.05,41.00
BZPE09,CAFE EXPRESS 9oz PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE 9oz 50/PQT x 20/CS UPC Pack: 059212985025 UPC Case: 059212985032,CASE,2.60,52.00
BZPE09S,CAFE EXPRESS 9oz SQUAT PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE 9oz 50/PQT x 20/CS UPC Pack: 059212985087 UPC Case: 059212985094,CASE,2.65,53.00
BZPE12,CAFE EXPRESS 12oz PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE 12oz 50/PQT x 20/CS UPC Pack: 059212985100 UPC Case: 059212985117,CASE,3.42,68.40
BZPE16,CAFE EXPRESS 16oz PET CUPS 50/PK x 20/CS (1658915) CAFE EXPRESS VERRES EN PETE 16oz 50/PQT x 20/CS UPC Pack: 059212985186 UPC Case: 059212985193,CASE,5.04,100.80
BZPE16T,CAFE EXPRESS 16OZ TALL PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE GRANDS 16OZ 50/PQT x 20/CS UPC Pack: 059212985308 UPC Case: 059212985315,CASE,4.58,91.60
BZPE20,CAFE EXPRESS 20oz PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE 20oz 50/PQT x 20/CS UPC Pack: 059212985209 UPC Case: 059212985216,CASE,4.78,95.60
BZPE24,CAFE EXPRESS 24oz PET CUPS 50/PK x 20/CS CAFE EXPRESS VERRES EN PETE 24oz 50/PQT x 20/CS UPC Pack: 059212985223 UPC Case: 059212985230,CASE,5.80,116.00
BZPEL78F,CAFE EXPRESS 78mm FLAT LID 50/PK x 20/CS CAFE EXPRESS COUVERCLE PLAT 78mm 50/PQT x 20/CS UPC Pack: 059212985049 UPC Case: 059212985056,CASE,1.01,20.20
BZPEL78S,CAFE EXPRESS 78mm SLOTTED LID 50/PK x 20/CS (1859842) CAFE EXPRESS COUVERCLE AVEC FENTE 78mm 50/PQT x 20/CS (1859842) UPC Pack: 059212985063 UPC Case: 059212985070,CASE,1.01,20.20
BZPEL92D,CAFE EXPRESS 92mm DOME LID W/ HOLE 50/PK x 20/CS CAFE EXPRESS COUVERCLE DOME AVEC TROU 92mm 50/PQT x 20/CS UPC Pack: 059212985162 UPC Case: 059212985179,CASE,1.67,33.40
BZPEL92F,CAFE EXPRESS 92mm FLAT LID 50/PK x 20/CS CAFE EXPRESS COUVERCLE PLAT 92mm 50/PQT x 20/CS UPC Pack: 059212985124 UPC Case: 059212985131,CASE,1.19,23.80
BZPEL92I,CAFE EXPRESS 92MM INSERT 50/PK x 20/CS CAFE EXPRESS 92MM COUPELLES A GARNITURE 50/PQT x 20/CS UPC Pack: 059212985322 UPC Case: 059212985339,CASE,1.26,25.20
BZPEL92P,CAFE EXPRESS 92MM SIP LID 50/PK x 20/CS CAFE EXPRESS 92MM COUVERCLE A BEC 50/PQT x 20/CS UPC Pack: 059212985346 UPC Case: 059212985353,CASE,2.03,40.60
BZPEL92S,CAFE EXPRESS 92mm SLOTTED LID 50/PK x 20/CS (1857113) CAFE EXPRESS COUVERCLE AVEC FENTE 92mm 50/PQT x 20/CS (1857113) UPC Pack: 059212985148 UPC Case: 059212985155,CASE,1.19,23.80
BZPEL99D,CAFE EXPRESS 99mm DOME LID W/ HOLE 50/PK x 20/CS CAFE EXPRESS COUVERCLE EN DOME AVEC TROU 99mm 50/PQT x 20/CS UPC Pack: 059212985285 UPC Case: 059212985292,CASE,1.95,39.00
BZPEL99F,CAFE EXPRESS 99mm FLAT LID 50/PK x 20/CS CAFE EXPRESS COUVERCLE PLAT 99mm 50/PQT x 20/CS UPC Pack: 059212985247 UPC Case: 059212985254,CASE,1.41,28.20
BZPEL99P,CAFE EXPRESS 99MM SIP LID 50/PK x 20/CS CAFE EXPRESS COUVERCLE A SIROTER 99MM 50/PQT x 20/CS UPC Pack: 059212985360 UPC Case: 059212985377,CASE,2.14,42.80
BZPEL99S,CAFE EXPRESS 99mm SLOTTED LID 50/PK x 20/CS (1859802) CAFE EXPRESS COUVERCLE AVEC FENTE 99mm 50/PQT x 20/CS (1859802) UPC Pack: 059212985261 UPC Case: 059212985278,CASE,1.41,28.20
BZPEP1T30,CAFE EXPRESS 1OZ PET SHOOTER GLASS 30/PK X 36/CS CAFE EXPRESS 1OZ PET VERRES A LIQUEUR PK30 X 36/CS UPC Pack: 059212323056 UPC Case: 059212323063,CASE,0.69,24.97
BZPEP2T30,CAFE EXPRESS 2OZ PET SHOOTER GLASS 30/PK X 36/CS CAFE EXPRESS 2OZ PET VERRES A LIQUEUR PK30 X 36/CS UPC Pack: 059212323070 UPC Case: 059212323087,CASE,0.93,33.46
BZP016B,CAFE EXPRESS 16oz PLASTIC BEER CUPS RED/WHITE 10x48/CS(1037047) CAFE EXPRESS VERRES EN PLASTIQUE POUR BIERE ROUGE/BLANC 10x48/CS UPC Pack: 059212703674 UPC Case: 059212703681,CASE,0.89,42.72
BZP016B1,CAFE EXPRESS 16oz PS CUPS RED/WHITE 50/PK x 20/CS CAFE EXPRESS VERRES PLASTIQUE POUR BIERE ROUGE/BLANC 50x20/CS UPC Pack: 059212994294 UPC Case: 059212994300,CASE,4.11,82.20
BZP016W,CAFE EXPRESS 16oz BEER (PP) CUPS BLUE/WHITE 10x48/CS CAFE EXPRESS 16oz VERRES POUR BIERE BLEU/BLANC 10x48/CS UPC Pack: 059212710023 UPC Case: 059212710078,CASE,0.91,43.68
BZP016C,CAFE EXPRESS 16oz PLASTIC CUPS 10/PK 18 RED AND 18 GREEN PKS/CASE CAFE EXPRESS VERRES EN PLASTIQUE 16oz 10/PQT 18 PQT ROUGE/18 PQT VERT//CAISSE UPC Pack: 059212703698 UPC Case: 059212703704,CASE,0.88,31.68
BZP016PB,CAFE EXPRESS 16oz PLASTIC CUPS 10/PK 18PINK AND 18BLUE PK/CASE CAFE EXPRESS VERRES EN PLASTIQUE 16oz 10/PQT - 18 PQT ROSE /18 PQT BLEU /CS UPC Pack: 059212998797 UPC Case: 059212998803,CASE,0.88,31.68
BZPS4C,CAFE EXPRESS WAVE CHAMPAGNE GLASS 4/PK X 24/CS (1037045) CAFE EXPRESS VERRE A CHAMPAGNE DESIGN 4/PK X 24/CS UPC Pack: 059212989412 UPC Case: 059212989429,CASE,2.10,50.40
BZPS4W,CAFE EXPRESS WAVE WINE GLASS 4/PK X 24/CS CAFE EXPRESS VERRE A VIN DESIGN 4/PK X 24/CS UPC Pack: 059212989399 UPC Case: 059212989405,CASE,2.19,52.56
BZP117,ARGENTIA RIDGE MODERN WINE GLASS 117/PK (1089824) ARGENTIA RIDGE VERRES A VIN MODERNES 117/PK (1089824) UPC Pack: 059212991347 UPC Case: 059212991354,EACH,16.85,67.40
BZP40C,ARGENTIA RIDGE PLASTIC CRYSTAL CHAMPAGNE GLASS 40/PK X 4/CS (1089802) ARGENTIA RIDGE VERRES A CHAMPAGNE EN PLASTIQUE CRYSTAL 40/PK X 4/CS (1089802) UPC Pack: 059212991361 UPC Case: 059212991378,EACH,17.82,71.28
BZP40W,ARGENTIA RIDGE PLASTIC CRYSTAL WINE GLASS 40/PK X 4/CS ARGENTIA RIDGE VERRES A VIN EN PLASTIQUE CRYSTAL 40/PK X 4/CS UPC Pack: 059212991385 UPC Case: 059212991392,EACH,18.48,73.92
BZP24W,ARGENTIA RIDGE STEMLESS WINE GLASS 24/PK (1367259) ARGENTIA RIDGE VERRES EN PLASTIQUE 24/PK (1367259) UPC Pack: 059212001626 UPC Case: 059212001633,EACH,22.97,91.88
MWCA6T,ARGENTIA RIDGE CABERNET SAUVIGNON 2X6L (2619277) CABERNET SAUVIGNON ARGENTIA RIDGE 2X6L (2619277) UPC Pack: 059212706521 UPC Case:,EACH,94.00,94.00
MWCH6T,ARGENTIA RIDGE CHARDONNAY 2X6L (6551699) CHARDONNAY ARGENTIA RIDGE 2X6L (6551699) UPC Pack: 059212706538 UPC Case:,EACH,94.00,94.00
MWME6T,ARGENTIA RIDGE MERLOT 2X6L (6551599) MERLOT ARGENTIA RIDGE 2X6L (6551599) UPC Pack: 059212706545 UPC Case:,EACH,100.54,100.54
MWPG6T,ARGENTIA RIDGE PINOT GRIGIO BROWN BOX 2x6L (1571807)) PINOT GRIGIO ARGENTIA RIDGE BOITE BRUN 2 x 6L (1571807)) UPC Pack: 059212706552 UPC Case:,EACH,94.00,94.00
MWPN6T,ARGENTIA RIDGE PINOT NOIR 2X6L (1571808)) PINOT NOIR ARGENTIA RIDGE 2X6L (1571808) UPC Pack: 059212706569 UPC Case:,EACH,100.54,100.54
BZP48W,ARGENTIA RIDGE WINE GLASS 48/PK x 4/CASE (1051208) ARGENTIA RIDGE VERRE A VIN 48/BTE x 4/CS UPC Pack: 059212989054 UPC Case: 059212989061,EACH,14.37,57.48
BPPF1205,CAFE EXPRESS 12OZ PRINTED SINGLE WALL COLD CUPS 25/PK X 20/CS (1097412) CAFE EXPRESS 12OZ GOBELETS FROID IMPRIME 25/PQT X 20/CS (1097412) UPC Pack: 059212319646 UPC Case: 059212319653,CASE,1.84,36.80
BPPF1605,CAFF EXPRESS 16OZ PRINTED SINGLE WALL COLD CUPS 25/PK X 20/CS (1097416) CAFE EXPRESS 16OZ GOBELETS FROID IMPRIME 25/PQT X 20/CS (1097416) UPC Pack: 059212319660 UPC Case: 059212319677,CASE,2.11,42.26
BPPF2205,CAFE EXPRESS 22OZ PRINTED SINGLE WALL COLD CUPS 25/PK X 20/CS (1926737) CAFE EXPRESS 22OZ GOBELETS FROID IMPRIME 25/PQT X 20/CS (1926737) UPC Pack: 059212319684 UPC Case: 059212319691,CASE,2.49,49.86
